,imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,Year
43822,tt0369610,Jurassic World,Jurassic World,2015,2015-06-11,"Action, Adventure, Sci-Fi",124,USA,English,Colin Trevorrow,"Rick Jaffa, Amanda Silver",Universal Pictures,"Chris Pratt, Bryce Dallas Howard, Irrfan Khan, Vincent D'Onofrio, Ty Simpkins, Nick Robinson, Jake Johnson, Omar Sy, BD Wong, Judy Greer, Lauren Lapkus, Brian Tee, Katie McGrath, Andy Buckley, Eric Edelstein","A new theme park, built on the original site of Jurassic Park, creates a genetically modified hybrid dinosaur, the Indominus Rex, which escapes containment and goes on a killing spree.",7.0,569512,$ 150000000,$ 652270625,$ 1670401444,59.0,1537.0,698.0,2015
46000,tt0420293,Effetto Lucifero,The Stanford Prison Experiment,2015,2015-07-17,"Biography, Drama, History",122,USA,English,Kyle Patrick Alvarez,"Tim Talbott, Philip Zimbardo",Coup d'Etat Films,"Billy Crudup, Michael Angarano, Moises Arias, Nicholas Braun, Gaius Charles, Keir Gilchrist, Ki Hong Lee, Thomas Mann, Ezra Miller, Logan Miller, Tye Sheridan, Johnny Simmons, James Wolk, Nelsan Ellis, Olivia Thirlby","In 1971, twenty-four male students are selected to take on randomly assigned roles of prisoners and guards in a mock prison situated in the basement of the Stanford psychology building.",6.9,35968,,$ 660561,$ 663114,67.0,98.0,88.0,2015
46146,tt0423868,Khab-e talkh,Khab-e talkh,2004,2015-11-23,"Comedy, Drama",88,Iran,Persian,Mohsen Amiryoussefi,Mohsen Amiryoussefi,Touba Films,"Yadollah Anvari, Abbas Esfandiari, Delbar Ghasri, Mohsen Rahimi, Safar-Ali Safari","For forty years, Esfandiar has been unconcernedly preparing corpses for the journey to their final resting place. One day, whilst preparing a burial service, he's taken ill. Might he too be mortal ?",7.3,306,,,,,4.0,11.0,2015
46946,tt0443465,Before We Go,Before We Go,2014,2015-07-21,"Comedy, Drama, Romance",95,USA,English,Chris Evans,"Ronald Bass, Jen Smolka",G4 Productions,"Chris Evans, Alice Eve, Emma Fitzpatrick, John Cullum, Mark Kassen, Elijah Moreland, Daniel Spink, Grim Reaper Q., Dorothi Fox, Allie Woods Jr., Fenton Lawless, Troy Caylak, Tony White, Scott Evans, Kevin Carolan",Two strangers stuck in Manhattan for the night grow into each other's most trusted confidants when an evening of unexpected adventure forces them to confront their fears and take control of their lives.,6.8,50513,,$ 37151,$ 462875,31.0,166.0,54.0,2015
48195,tt0470752,Ex Machina,Ex Machina,2014,2015-07-30,"Drama, Sci-Fi, Thriller",108,UK,English,Alex Garland,Alex Garland,A24,"Domhnall Gleeson, Alicia Vikander, Oscar Isaac, Sonoya Mizuno, Corey Johnson, Claire Selby, Symara A. Templeman, Gana Bayarsaikhan, Tiffany Pisani, Elina Alminas",A young programmer is selected to participate in a ground-breaking experiment in synthetic intelligence by evaluating the human qualities of a highly advanced humanoid A.I.,7.7,462655,$ 15000000,$ 25442958,$ 36869414,78.0,899.0,428.0,2015
48577,tt0478970,Ant-Man,Ant-Man,2015,2015-08-12,"Action, Adventure, Comedy",117,USA,English,Peyton Reed,"Edgar Wright, Joe Cornish",Gary Sanchez Productions,"Paul Rudd, Michael Douglas, Evangeline Lilly, Corey Stoll, Bobby Cannavale, Anthony Mackie, Judy Greer, Abby Ryder Fortson, Michael Peña, David Dastmalchian, T.I., Wood Harris, Hayley Atwell, John Slattery, Martin Donovan","Armed with a super-suit with the astonishing ability to shrink in scale but increase in strength, cat burglar Scott Lang must embrace his inner hero and help his mentor, Dr. Hank Pym, plan and pull off a heist that will save the world.",7.3,553758,$ 130000000,$ 180202163,$ 519311965,64.0,726.0,585.0,2015
48841,tt0485061,uwantme2killhim?,uwantme2killhim?,2013,2015-04-23,"Drama, Thriller",92,UK,English,Andrew Douglas,"Fernley Phillips, Mike Walden",Tribeca Film,"Joanne Froggatt, Stephanie Leonidas, Toby Regbo, Jack Lowden, Liz White, Amy Wren, Jamie Blackley, Louise Delamere, Jaime Winstone, Mark Womack, Priyanga Burford, Charles De'Ath, Lenore Thomas Douglas, James Burrows, Scott Chambers",A teenage boy's descent into the dangerous world of the Internet and the harrowing consequences of his actions. A true story.,6.3,2366,,,,42.0,21.0,31.0,2015
49077,tt0490236,The Invited,The Invited,2010,2015-03-17,"Horror, Thriller",95,USA,English,Ryan McKinney,"Regan McKinney, Ryan McKinney",Dark Portal LLC,"Carlos Alazraqui, Ellen Albertini Dow, Dana Barron, Christa Bella, Eric Bowen, William Brent, Sarah Brown, Victor Browne, Judea Cavoto, James Anthony Cotton, Karyn Dahl, Emily Rose Everhard, Nick Fenske, Alfonso Freeman, Michael Greggans","A young married couple who are pregnant with their first child moves into their turn-of-the-century home where they discover that a great evil has resided there for nearly a century, ...",4.0,257,$ 7000000,,,,14.0,,2015
49355,tt0498351,The Hero of Color City,The Hero of Color City,2014,2015-07-31,"Animation, Family",77,"USA, India, South Korea","English, Hindi",Frank Gladstone,"Jess Kedward, J.P. McCormick",Exodus Film Group,"Elizabeth Daily, Christina Ricci, Tom Lowell, Jess Harnell, Frank Gladstone, Wayne Brady, David Kaye, Rosie Perez, Robin Howard, Jeremy Guskin, John D. Eraklis, Craig Ferguson, Zoë Bright, Sophia Eraklis, Owen Wilson",A diverse band of crayons strive to protect not only their magical multihued homeland but the imagination of children everywhere from a terrifying monster.,4.1,502,,$ 32188,$ 115335,33.0,12.0,17.0,2015
49610,tt0772173,Interkosmos,Interkosmos,2006,2015-12-06,"Drama, History, Music",71,USA,"German, English",Jim Finn,Jim Finn,,"Dean DeMatteis, Jim Finn, Nandini Khaund, Goran Milos, Ruediger van den Boom",Interkosmos is a musical documentary-style film about the East German space program-a program with the energy and creativity of the Soviet arts scene of the 1920s and a bit of the hippie ...,6.0,107,$ 9500,,,,1.0,6.0,2015
49992,tt0804438,Un americano in Cina,An American in China,2008,2015-03-30,"Comedy, Drama, Romance",90,"China, USA","English, Mandarin",Ron Berrett,"Ron Berrett, Wenxin Yuan",East West Media,"James Snyder, Sun Fei Fei, Anthony Montgomery, Alice Greczyn, Michael Gross, Jorge Luis Abreu, Priscilla Barnes, Taylor Cole, Michael Cornacchia, Steve Geiger, Clare Harper, Keith Oney, Dustin Dugas Schuetter","Aimlessly cruising through his first post-Stanford University summer, 22 year old David Braddock finds himself in China where he meets Mei, an ambitious young girl who urges him to find his life's direction.",4.8,206,,,,,1.0,1.0,2015
50184,tt0811137,The Do-Deca-Pentathlon,The Do-Deca-Pentathlon,2012,2015-10-31,Comedy,76,USA,English,"Jay Duplass, Mark Duplass","Jay Duplass, Mark Duplass",Duplass Brothers Productions,"Mark Kelly, Steve Zissis, Jennifer Lafleur, Julie Vorus, Brendan Robinson, Noël Wells, Ricky Dillard, Elton LeBlanc, Alex Lipschultz, John Melvin, Brett Patron, Jordan Stidham, Reid Williams",Two brothers compete in their own private 25-event Olympics.,6.0,1665,,$ 10000,$ 10000,60.0,6.0,52.0,2015
50591,tt0835775,Electric Slide,Electric Slide,2014,2015-04-03,"Action, Biography, Crime",95,USA,English,Tristan Patterson,"Timothy Ford, Tristan Patterson",Di Bonaventura Pictures,"Chloë Sevigny, Patricia Arquette, Vinessa Shaw, Constance Wu, Christopher Lambert, Kate Micucci, Isabel Lucas, Jim Sturgess, James Ransone, Megalyn Echikunwoke, Oz Perkins, Susan Park, Rhys Coiro, Kendrick Sampson, Cortney Palm",A chronicle of the life of furniture salesman turned bank robber Eddie Dodson.,4.7,790,$ 3000000,,,37.0,9.0,17.0,2015
50906,tt0862856,La vendetta di Halloween,Trick 'r Treat,2007,2015-11-27,"Comedy, Horror",82,USA,English,Michael Dougherty,Michael Dougherty,Warner Bros.,"Dylan Baker, Rochelle Aytes, Quinn Lord, Lauren Lee Smith, Moneca Delain, Tahmoh Penikett, Brett Kelly, Britt McKillip, Isabelle Deluce, Jean-Luc Bilodeau, Alberto Ghisi, Samm Todd, Anna Paquin, Brian Cox, Leslie Bibb","Five interwoven stories that occur on Halloween: An everyday high school principal has a secret life as a serial killer; a college virgin might have just met the guy for her; a group of teenagers pull a mean prank; a woman who loathes the night has to contend with her holiday-obsessed husband; and a mean old man meets his match with a demonic, supernatural trick-or-treater.",6.8,78206,,,,,311.0,227.0,2015
51018,tt0872249,Devil's Dominoes - Effetto Domino,The Devil's Dominoes,2008,2015-02-11,Thriller,90,USA,English,Scott Prestin,John Pizzo,American Stonehenge Films,"Daniel Baldwin, Vincent Pastore, Christopher Mur, Tom Bateman, Craig Degel, Dan Waller, Martin Shannon, Scott Prestin, John Morlein, Michael Chinn, Collin Anderson, Michael Guido, Heather Prete, Steve Misetic, Len Bajenski",A Chicago gangster seeks revenge after four friends accidentally kill his son in a car crash.,4.7,134,$ 500000,,,,,1.0,2015
51141,tt0884732,Un testimone in affitto,The Wedding Ringer,2015,2015-05-21,Comedy,101,USA,"English, Ukrainian",Jeremy Garelick,"Jeremy Garelick, Jay Lavender",LStar Capital,"Kevin Hart, Josh Gad, Affion Crockett, Kaley Cuoco, Jorge Garcia, Dan Gill, Corey Holcomb, Ken Howard, Colin Kane, Cloris Leachman, Jenifer Lewis, Alan Ritchson, Mimi Rogers, Aaron Takahashi, Olivia Thirlby","Two weeks shy of his wedding, a socially awkward guy enters into a charade by hiring the owner of a company that provides best men for grooms in need.",6.6,69920,$ 23000000,$ 64460211,$ 79799880,35.0,127.0,125.0,2015
51313,tt0900387,Suite Francese,Suite Française,2014,2015-03-12,"Drama, Romance, War",107,"UK, France, Canada, Belgium, USA","English, German, French, Latin",Saul Dibb,"Saul Dibb, Matt Charman",Alliance,"Michelle Williams, Kristin Scott Thomas, Margot Robbie, Eric Godon, Deborah Findlay, Ruth Wilson, Sam Riley, Vincent Doms, Simon Dutton, Diana Kent, Themis Pauwels, Alexandra Maria Lara, Nicolas Chagrin, Clare Holman, Bernice Stegers","During the early years of Nazi occupation of France in World War II, romance blooms between Lucile Angellier (",7.0,22624,EUR 15000000,,$ 9337930,63.0,75.0,105.0,2015
51745,tt0951333,Felix l'ultima lince,El lince perdido,2008,2015-04-20,"Animation, Action, Adventure",97,Spain,English,"Raul Garcia, Manuel Sicilia","Manuel Sicilia, Raul Garcia",Canal Sur Televisión,"David Robles, Cecilia Santiago, Conchi López, Abraham Aguilar, Julio Núñez, Roberto Cuenca, Stephen Hughes, Carlos del Pino, Pepa Castro, Beatriz Berciano, Javier Sáenz, David García, Esperanza Pedreño, César Sarachu, Javier Gauna",A group of animals look for a way off of an eccentric billionaire's own personal Noah's Ark.,5.3,1062,,,$ 4201862,,10.0,5.0,2015
52436,tt1014763,Child 44 - Il bambino n. 44,Child 44,2015,2015-04-30,"Crime, Drama, History",137,"Czech Republic, UK, USA, Russia","English, Russian",Daniel Espinosa,"Richard Price, Tom Rob Smith",Summit Entertainment,"Xavier Atkins, Mark Lewis Jones, Tom Hardy, Joel Kinnaman, Fares Fares, Karel Dobrý, Noomi Rapace, Agnieszka Grochowska, Petr Vanek, Jana Stryková, Jason Clarke, Ursina Lardi, Michael Nardone, Jemma O'Brien, Lottie Steer",A disgraced member of the Russian military police investigates a series of child murders during the Stalin-era Soviet Union.,6.5,64385,$ 50000000,$ 1224330,$ 12951093,41.0,268.0,189.0,2015
52498,tt1018765,All'ultimo voto,Our Brand Is Crisis,2015,2015-10-30,"Comedy, Drama",107,USA,"English, Spanish",David Gordon Green,"Rachel Boynton, Peter Straughan",Participant,"Sandra Bullock, Billy Bob Thornton, Anthony Mackie, Joaquim de Almeida, Ann Dowd, Scoot McNairy, Zoe Kazan, Dominic Flores, Reynaldo Pacheco, Louis Arcella, Octavio Gómez Berríos, Luis Chávez, Azucena Diaz, Damian Delgado, Nina Leon","A battle-hardened American political consultant is sent to help re-elect a controversial president in Bolivia, where she must compete with a long-term rival working for another candidate.",6.1,20156,$ 28000000,$ 7002261,$ 8527658,53.0,74.0,135.0,2015
52531,tt1020072,Selma - La strada per la libertà,Selma,2014,2015-02-12,"Biography, Drama, History",128,"UK, USA, France",English,Ava DuVernay,Paul Webb,Pathé,"David Oyelowo, Carmen Ejogo, Jim France, Trinity Simone, Mikeria Howard, Jordan Rice, Ebony Billups, Nadej K. Bailey, Elijah Oliver, Oprah Winfrey, Clay Chappell, Tom Wilkinson, Giovanni Ribisi, Haviland Stillwell, André Holland",A chronicle of Dr.,7.5,84249,$ 20000000,$ 52076908,$ 66787908,81.0,267.0,383.0,2015
52703,tt1029360,Poltergeist,Poltergeist,2015,2015-07-02,"Horror, Thriller",93,"USA, Canada",English,Gil Kenan,"David Lindsay-Abaire, Steven Spielberg",Fox 2000 Pictures,"Sam Rockwell, Rosemarie DeWitt, Saxon Sharbino, Kyle Catlett, Kennedi Clements, Jared Harris, Jane Adams, Susan Heyward, Nicholas Braun, Karen Ivany, Patrick Garrow, Doug MacLeod, Eve Crawford, L.A. Lopes, Soma Chhaya",A family whose suburban home is haunted by evil forces must come together to rescue their youngest daughter after the apparitions take her captive.,4.9,54188,$ 35000000,$ 47425125,$ 95437994,47.0,399.0,287.0,2015
53394,tt1068678,Veronika decide di morire,Veronika Decides to Die,2009,2015-01-20,"Drama, Romance",103,USA,English,Emily Young,"Paulo Coelho, Larry Gross",Das Films,"Sarah Michelle Gellar, Jonathan Tucker, Erika Christensen, Florencia Lozano, Rena Owen, Erica Gimpel, Victor Slezak, Barbara Sukowa, Victor Steinbach, Melissa Leo, David Thewlis, Virl Andrick, Jeff Applegate, Lisette Bross, Matthew Cowles","After a frantic suicide attempt, Veronika awakens inside a mysterious mental asylum. Under the supervision of an unorthodox psychiatrist who specializes in controversial treatment, Veronika learns that she has only weeks to live.",6.4,12038,$ 9000000,,$ 1709178,,45.0,22.0,2015
53474,tt1073241,Una sola verità,Nothing But the Truth,2008,2015-08-05,"Crime, Drama, Mystery",108,USA,English,Rod Lurie,Rod Lurie,Yari Film Group (YFG),"Kate Beckinsale, Matt Dillon, Angela Bassett, Alan Alda, Vera Farmiga, David Schwimmer, Courtney B. Vance, Noah Wyle, Floyd Abrams, Preston Bailey, Kristen Bough, Julie Ann Emery, Robert Harvey, Michael O'Neill, Kristen Shaw","In Washington, D.C., a female reporter faces a possible jail sentence for outing a CIA agent and refusing to reveal her source.",7.2,35653,$ 11500000,,$ 409832,64.0,139.0,61.0,2015
53517,tt1075642,Beyond the Grave,Beyond the Grave,2010,2015-02-13,"Action, Crime, Horror",89,Brazil,"Portuguese, Japanese, Guarani",Davi de Oliveira Pinheiro,Davi de Oliveira Pinheiro,Lockheart Filmes,"Rafael Tombini, Álvaro Rosa Costa, Ricardo Seffner, Amanda Lerias, Luciana Verch, Leandro Lefa, Tatiana Paganella, Adriano Basegio, Marcos Guarani, Felipe Longhi, Isidoro B. Guggiana, Claudio Benevenga, Cassiano Griesang, Daniel Bacchieri, Lindon Satoru Shimizu","In a devastated post-apocalyptic world where the rules of reality are transformed by magic and madness, a vengeful police officer searches for a possessed serial killer in a battle of the not-so-good versus absolute evil.",4.3,198,,,,,9.0,167.0,2015
53877,tt1094643,Kagadanan sa banwaan ning mga engkanto,Kagadanan sa banwaan ning mga engkanto,2007,2015-12-30,Drama,540,"Philippines, Netherlands","Filipino, Bicolano, English, Tagalog",Lav Diaz,Lav Diaz,Sine Olivia,"Roeder Camanag, Angeli Bayani, Perry Dizon, Dante Perez, Sophia Aves, Soliman Cruz, Gemma Cuenca, At Maculangan, Jenny Guinto, Amalia Virtucio, Kalila Aguilos, Juan Francisco Penaranda, Ashleigh Beatrice Penarada, Jason Escobel, Benjamin B. Arienda Jr.","A Filipino poet named Benjamin Agusan (Roeder Camanag) is the hapless native who returns to his hometown Padang to witness the aftermath of the super typhoon. For the past seven years, ...",7.4,165,,,,,2.0,8.0,2015
53958,tt1100089,Foxcatcher: Una storia americana,Foxcatcher,2014,2015-03-12,"Biography, Drama, Sport",134,USA,"English, French",Bennett Miller,"E. Max Frye, Dan Futterman",Annapurna Pictures,"Steve Carell, Channing Tatum, Mark Ruffalo, Sienna Miller, Vanessa Redgrave, Anthony Michael Hall, Guy Boyd, Brett Rice, Jackson Frazer, Samara Lee, Francis J. Murphy III, Jane Mowder, David 'Doc' Bennett, Lee Perkins, Robert Haramia",U.S. Olympic wrestling champions and brothers,7.0,132436,$ 24000000,$ 12096300,$ 19206513,81.0,334.0,463.0,2015
54224,tt1121096,Il settimo figlio,Seventh Son,2014,2015-02-19,"Action, Adventure, Fantasy",102,"USA, UK, Canada, China",English,Sergei Bodrov,"Charles Leavitt, Steven Knight",Beijing Skywheel Entertainment Co.,"Jeff Bridges, Ben Barnes, Julianne Moore, Alicia Vikander, Antje Traue, Olivia Williams, John DeSantis, Kit Harington, Djimon Hounsou, Gerard Plunkett, Jason Scott Lee, Kandyse McClure, Luc Roderique, Zahf Paroo, Timothy Webber","When Mother Malkin, the queen of evil witches, escapes the pit she was imprisoned in by professional monster hunter Spook decades ago and kills his apprentice, he recruits young Tom, the seventh son of the seventh son, to help him.",5.5,70013,$ 95000000,$ 17223265,$ 114178613,30.0,195.0,187.0,2015
54289,tt1126590,Big Eyes,Big Eyes,2014,2015-01-01,"Biography, Crime, Drama",106,"USA, Canada","English, French, Italian",Tim Burton,"Scott Alexander, Larry Karaszewski",The Weinstein Company,"Amy Adams, Christoph Waltz, Danny Huston, Krysten Ritter, Jason Schwartzman, Terence Stamp, Jon Polito, Delaney Raye, Madeleine Arthur, James Saito, Farryn VanHumbeck, Guido Furlani, Elisabetta Fantone, Emily Maddison, Brent Chapman",A drama about the awakening of painter,7.0,83787,$ 10000000,$ 14482031,$ 29253166,62.0,181.0,344.0,2015
54353,tt1130969,Bad Cop - Polizia violenta,Sinners and Saints,2010,2015-12-09,"Action, Crime, Thriller",104,USA,English,William Kaufman,"William Kaufman, Jay Moses",Throttle Films,"Johnny Strong, Kevin Phillips, Costas Mandylor, Sean Patrick Flanery, Tom Berenger, Method Man, Kim Coates, Bas Rutten, Louis Mandylor, Jürgen Prochnow, Jolene Blalock, Brooklyn Sudano, Matt Beckham, Jake La Botz, Jessica Heap",Two New Orleans cops are up against an extremely violent gang.,6.1,5330,,,,,38.0,30.0,2015
54488,tt1137470,Accidental Love,Accidental Love,2015,2015-06-04,"Comedy, Romance",100,"USA, UK","English, Portuguese",David O. Russell,"Kristin Gore, Matthew Silverstein",K. JAM Media,"Jessica Biel, Raymond L. Brown Jr., Jenny Gulley, Beverly D'Angelo, Steve Boles, James Marsden, Bill Hader, Darlene Hunt, Cheryl McConnell, Kirstie Alley, Kurt Fuller, Tracy Morgan, Jake Gyllenhaal, Malinda Williams, Kendrick Cross","A small town waitress gets a nail accidentally lodged in her head causing unpredictable behavior that leads her to Washington, D.C., where sparks fly when she meets a clueless young senator who takes up her cause - but what happens when love interferes with what you stand for?",4.1,7625,$ 26000000,,$ 24487,20.0,38.0,60.0,2015
54538,tt1141702,Credo negli unicorni,I Believe in Unicorns,2014,2015-05-29,Drama,80,USA,English,Leah Meyerhoff,Leah Meyerhoff,,"Natalia Dyer, Peter Vack, Julia Garner, Amy Seimetz, Toni Meyerhoff, Delano Montgomery, Sam O'Gotti, Johnny Sequoyah, Jane Stillwater",A road trip through the stunning and complex landscape of troubled young love.,6.2,819,,,,73.0,20.0,29.0,2015
54673,tt1151410,Tanner Hall - Storia di un'amicizia,Tanner Hall,2009,2015-01-15,"Drama, Romance",96,USA,English,"Francesca Gregorini, Tatiana von Fürstenberg","Tatiana von Fürstenberg, Francesca Gregorini",Two Prong Lesson,"Rooney Mara, Georgia King, Brie Larson, Amy Ferguson, Tom Everett Scott, Amy Sedaris, Chris Kattan, Shawn Pyfrom, Ryan Schira, Susan Misner, Tara Subkoff, Annika Peterson, Alaina Lauren Steinberg, Konstantine Kakanias, Lowry Marshall","Tanner Hall is a vivid peek into the private world of an all-girls boarding school. In a cozy, but run-down New England, the knot of adolescent complexity is unraveled through the coming-of-age stories of four teenage girls.",5.8,3299,$ 3000000,$ 5073,$ 5073,40.0,15.0,21.0,2015
